Time	HighH	HighM	HighL	MiddleH	MiddleM	MiddleL	LowH	LowM	LowL	Tot
36000.0000	1672.0000	5727.6000	6722.0000	5636.1061	8251.5000	8288.2302	9514.9964	10456.9309	10796.7051	9889.8188
37800.0000	1672.0000	5727.6000	6722.0000	5612.4714	8146.3981	8624.9866	9772.9133	10968.1821	11247.0773	10263.5985
39600.0000	1672.0000	5727.6000	6818.6667	5545.0667	8176.3364	9640.3313	10162.4591	11437.5247	11959.0235	10798.5395
41401.0000	1672.0000	5156.8333	6818.6667	5567.4938	8157.7069	9813.8274	10403.1920	11879.3256	12597.6811	11207.8615
43204.0000	1672.0000	5156.8333	6818.6667	5728.2414	8172.1290	9967.7045	10695.6223	12508.1995	12921.9725	11589.6840
45002.0000	1672.0000	5156.8333	6216.4000	5575.2637	8655.6090	10420.7959	10835.6048	12829.4614	13378.1453	11913.1793
46802.0000	1672.0000	5156.8333	6216.4000	5567.6915	8747.7319	10722.6715	11032.5125	13193.3065	13637.3690	12189.7420
48601.0000	2216.0000	5156.8333	6216.4000	5776.0900	8786.7500	10954.9083	11255.9063	13706.0272	13968.2941	12528.9687
50400.0000	2216.0000	5156.8333	6533.7273	5862.7647	8698.7467	11222.0614	11368.3233	14027.2750	14662.4787	12922.4187
52200.0000	2216.0000	5156.8333	6533.7273	5843.8131	8812.0062	11229.8182	11524.7265	14290.3066	15283.6480	13253.5271
54005.0000	2216.0000	5514.1429	6533.7273	5875.0536	9208.5030	11463.4016	11718.7984	14683.8811	15751.8633	13619.8906
55800.0000	2216.0000	5138.6250	6075.0000	5906.9735	9215.5227	11768.3826	12066.3593	14991.5725	16205.8312	13982.6410
57600.0000	2216.0000	5138.6250	6307.9286	5776.3475	9107.3892	11924.6291	12188.1590	15192.3785	16736.8235	14257.9232
59400.0000	2595.4000	5138.6250	6307.9286	5848.9350	9010.8085	12244.0619	12406.2485	15441.3504	17306.3052	14613.2275
61203.0000	2595.4000	5138.6250	6069.4667	5872.4683	9014.3077	12239.9412	12587.8639	15771.3288	17682.1433	14895.3601
63000.0000	2595.4000	5138.6250	6069.4667	5827.6000	9053.4776	12429.6811	12651.1870	16146.7810	18014.0847	15160.9459
64800.0000	2595.4000	5255.7778	6069.4667	5843.4167	9073.0000	12593.0659	12832.6093	16455.2963	18492.8350	15488.0450
66600.0000	2388.6667	5255.7778	6069.4667	5973.0942	9053.7442	12754.0372	13011.1072	16769.8565	18745.5047	15728.2996
68405.0000	2388.6667	4965.2000	6069.4667	5990.6809	9069.4091	12681.5702	13026.3296	17056.5356	18936.1418	15890.0065
70204.0000	2388.6667	4965.2000	6164.5625	5990.4000	9072.3755	12619.9358	13167.7692	17456.0438	19489.4150	16244.2638
72000.0000	2388.6667	4965.2000	6156.1765	6109.1800	9126.9325	12976.6907	13283.1286	17786.9568	20058.8977	16615.3266
73800.0000	2388.6667	4649.3636	6156.1765	6088.3290	9171.5779	13201.5935	13404.5734	17995.5763	20391.9242	16849.5790
75606.0000	2388.6667	4649.3636	6049.9444	6236.7875	9139.6680	13185.0911	13507.7396	18436.9408	20674.3954	17122.4298
77408.0000	2388.6667	4649.3636	6049.9444	6229.5000	9151.7211	13372.6659	13566.4889	18747.9743	21137.9351	17430.7901
79203.0000	2499.4286	4649.3636	5958.2632	6167.0060	9133.5097	13678.4345	13785.4569	19067.5747	21569.9200	17751.7839
81001.0000	2499.4286	4423.6667	5804.8500	6167.7000	9108.3435	13727.3742	13832.7462	19323.5853	21926.5373	17988.6772
82800.0000	2499.4286	4423.6667	5804.8500	6214.1977	9269.7279	13696.3585	13890.9337	19563.3648	22449.0503	18276.4707
84602.0000	2499.4286	4423.6667	5804.8500	6259.0722	9349.7643	13650.3129	14134.1293	19738.8862	22815.6732	18547.8483







Type	Created	Started	Relayed	Delivered	deliveryProb	开销率	平均延迟
HighH	7	1786	1786	7	1.0000	255.1429	2499.4286
HighM	13	1615	1611	12	0.9231	124.2308	4423.6667
HighL	23	1431	1430	21	0.9130	62.2174	6363.7619
MiddleH	201	12604	12591	184	0.9154	62.7065	6224.1196
MiddleM	326	10183	10176	290	0.8896	31.2362	9264.3966
MiddleL	603	9441	9427	484	0.8027	15.6567	13734.5826
LowH	2431	37822	37781	1915	0.7877	15.5582	14311.8794
LowM	4017	30407	30346	2523	0.6281	7.5696	19978.3143
LowL	7514	25614	25516	3134	0.4171	3.4088	23258.2629
Tol	15135	130903	130664	8570	0.5662	8.6490	18831.6922
