Time			Type			Success
84602.0000			HighH			1.0000
84602.0000			HighM			0.9231
84602.0000			HighL			0.9091
84602.0000			MiddleH			0.9137
84602.0000			MiddleM			0.8777
84602.0000			MiddleL			0.8003
84602.0000			LowH			0.7862
84602.0000			LowM			0.6234
84602.0000			LowL			0.4135
84602.0000			tot			0.5626




Type			Created			Started			Relayed			Delivered			deliveryProb
HighH			7			1786			1786			7			1.0000
HighM			13			1615			1611			12			0.9231
HighL			23			1431			1430			21			0.9130
MiddleH			201			12604			12591			184			0.9154
MiddleM			326			10183			10176			290			0.8896
MiddleL			603			9441			9427			484			0.8027
LowH			2431			37822			37781			1915			0.7877
LowM			4017			30407			30346			2523			0.6281
LowL			7514			25614			25516			3134			0.4171
Tol			15135			130903			130664			8570			0.5662
